Nombre;Dirección;Código Postal;Teléfono;Fax;Email;Tipo de organización;Ámbito territorial;Sector de población;Ámbito de actuación;Actividades;Función principal;Función secundaria
ASOCIACION ARTISTICA VIZCAINA;EUSKALDUNA                                                                                     5;48008;944436514;;aavizcaina@gmail.com;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;PROMOCION;SERVICIOS A LOS CIUDADANOS;
ASOCIACION FRANCESA DE AYUDA MUTUA;IPARAGUIRRE                                            26        5º D;48011;944419106;;;ASOCIACION;COMUNIDAD AUTONOMA;PADRES Y MADRES/FAMILIAS;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO;AYUDA MUTUA;;
REAL SOCIEDAD BASCONGADA DE LOS AMIGOS DEL PAIS - COMISION DE BIZKAIA;MARIA DIAZ DE HARO                                     11        1º;48013;944425288;944425288;rsbap@jet.es;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,JORNADAS TEMATICAS/CERTAMENES,VISITAS CULTURALES/EXCURSIONES,PUBLICACIONES;SERVICIOS A LOS SOCIOS;;
ASOC. ESPAÑOLA CONTRA EL CANCER-JUNTA PROVINCIAL DE BIZKAIA;ERCILLA                                                18        EP;48009;944241300;944243132;bizkaia@aecc.es;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SALUD;SERV.INFORMACION/ASESORAMIENTO,ACTIV.FORMATIVAS/EDUCATIVAS,SERVICIO MEDICO,SERVICIO ATENCION/ASISTENCIA;SERVICIOS A LOS CIUDADANOS;PROMOCION;
ASOC.JUBILADOS Y PENSIONISTAS DE PEÑASCAL;GARDEAZABAL                                                                                      4;48002;944103045;;;ASOCIACION;DISTRITO 7 REKALDE;TERCERA EDAD;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES;AYUDA MUTUA;SERVICIOS A LOS SOCIOS;
A.P.A. MENDIPE DEL COLEGIO SAGRADO CORAZON;ARTAZU BEKOA                                           45;48002;944222080;;scorazonbi@planalfa.es;ASOCIACION;DISTRITO 7 REKALDE;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS SOCIOS;;
ASOCIACION DE DESARROLLO COMUNITARIO GURE LURRA DE ZORROTZA;ZORROZGOITI                                                                                   11        03 B;48013;944971457;;gurelurra@gurelurra.org;ASOCIACION;DISTRITO 8 BASURTO-ZORROZA;INFANCIA Y JUVENTUD;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES;PROMOCION;EDUCAR;
A.P.A. DEL INSTITUTO ENSEÑANZA SECUNDARIA DE ESCURCE;ESCURCE                                                11;48012;944444408;944102262;;ASOCIACION;DISTRITO 7 REKALDE;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS;REPRESENTACION Y/O DEFENSA;;
AMPA DEL COLEGIO PUBLICO TORRE URIZAR TOMAS CAMACHO;MONASTERIO                                                                                        2;48012;944449799;944449799;;ASOCIACION;DISTRITO 7 REKALDE;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS SOCIOS;;
ASOCIACION JUVENIL BATASUNA ATSEDEN TALDEA;URETAMENDI                                                                                        44;48002;944449821;;;ASOCIACION;DISTRITO 7 REKALDE;JUVENTUD/ESTUDIANTES;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES;PROMOCION;;
NOVIA SALCEDO FUNDAZIOA;IPARAGUIRRE                                            9         1º;48009;944255959;944257096;informacion@noviasalcedo.es;FUNDACION;COMUNIDAD AUTONOMA;JUVENTUD/ESTUDIANTES;EDUCACIÓN Y EMPLEO;SERV.INFORMACION/ASESORAMIENTO,SERVICIO DE ORIENTACION,INFO/ORIENT EMPLEO Y FORMACION;EDUCAR;PROMOCION,SERVICIOS A LOS CIUDADANOS;
GRUPO FILATELICO IBERDROLA (VIZCAYA);GARDOKI CARDENAL                                       8;48008;944151411;944154579;;ASOCIACION;BIZKAIA;ADULTOS/AS;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;PROMOCION;SERVICIOS A LOS SOCIOS;
SOCIEDAD EL SITIO;BARRAINCUA                                             5;48009;944248307;944242550;sitiobilbao@gmail.com;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;PROMOCION;;
APOSTOLADO SEGLAR DE REKALDE;CIUDADELA                                                                                                 A;48002;944222560;;agintza@hotmail.com;ASOCIACION;DISTRITO 7 REKALDE;POBLACION EN GENERAL;SOCIEDAD;ACTIV.FORMATIVAS/EDUCATIVAS;EDUCAR;;
SDAD. CULTURAL RECREATIVA GASTRONOMICA EL PINAR;VIRGEN DEL PINAR                                                                         7         LJ;48014;944471860;;;ASOCIACION;DISTRITO 1 DEUSTO;SOCIOS/AS;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;OTROS;;
ASOC. DE VECINOS POLIGONO BEGOÑA-TXURDINAGA;GAIARRE JULIAN                                                                                94           10 DI;48004;944122850;944119436;;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;POBLACION EN GENERAL;BARRIO;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS CIUDADANOS;REPRESENTACION Y/O DEFENSA;
SOCIEDAD CULTURAL AMIGOS DE ZORROZA;ZORROZGOITI                                                                                      1            EP;48013;944903933;;;ASOCIACION;DISTRITO 8 BASURTO-ZORROZA;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;;
A.P.A. DEL COLEGIO PUBLICO CERVANTES;LERSUNDI                                                                                         10;48009;944240330;944240330;igecervantes@yahoo.es;ASOCIACION;DISTRITO 6 ABANDO;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS SOCIOS;AYUDA MUTUA;
ASOCIACION DE VECINOS SAN GABRIEL;ESTRADA DE MASUSTEGUI                                  202;48002;944270085;;aavvsangabriel@yahoo.es;ASOCIACION;DISTRITO 8 BASURTO-ZORROZA;POBLACION EN GENERAL;BARRIO;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS CIUDADANOS;SERVICIOS A LOS SOCIOS;
ASOCIACION BENEFICA PEÑA URIBARRI;MATIKO                                                                                             21        1º;48007;944459951;944459951;;ASOCIACION;DISTRITO 2 URIBARRI;TERCERA EDAD;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES,VISITAS CULTURALES/EXCURSIONES,ACOMPAÑAMIENTO;SERVICIOS A LOS SOCIOS;SERVICIOS A LOS CIUDADANOS;
A.P.A. DEL COLEGIO IBAIGANE;MADARIAGA                                              58;48014;944478836;;;ASOCIACION;DISTRITO 1 DEUSTO;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS;EDUCAR;;
HOGAR JUBILADOS Y PENSIONISTAS DE SAN FRANCISCO;MIRASOL CONDE                                                                                  2            BA;48003;944169475;944169475;;ASOCIACION;DISTRITO 5 IBAIONDO;TERCERA EDAD;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES,VISITAS CULTURALES/EXCURSIONES,SERVICIO PELUQUERIA Y/O PODOL.,CESION DE LOCALES;SERVICIOS A LOS SOCIOS;;
A.P.A. LAGUNAK DEL C.P. GABRIEL ARESTI;ERREKALDE                                                                                       3         B;48002;944221713;;;ASOCIACION;DISTRITO 7 REKALDE;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS SOCIOS;;
SDAD. ORNITOLOGICA LANIUS ORNITOLOGI ELKARTEA;GARCIA SALAZAR                                                                             4         1º D;48003;944216737;;sociedadornitologicalsnius@yahoo.es;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;SOCIEDAD;JORNADAS TEMATICAS/CERTAMENES,CENTRO DE DOCUMENTACION,SERVICIO ESTADISTICO/DE DATOS;PROTECCION;PROMOCION;
HOGAR DE JUBILADOS EL SALVADOR;FUNICULAR DEL                                                                               2;48007;944451277;;;ASOCIACION;DISTRITO 2 URIBARRI;TERCERA EDAD;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;;
ASOCIACION DE VECINOS DE ZORROTZA;CLARA CAMPOAMOR                                                                              1;48013;944820978;;auzoelkartea@zorrotza.org;ASOCIACION;DISTRITO 8 BASURTO-ZORROZA;POBLACION EN GENERAL;BARRIO;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS CIUDADANOS;;
ASOC DE FAMILIAS DEUSTO- DEUSTUKO SENDI ELKARTEA;YBARRA RAFAELA                                                                             31        03;48014;944472734;;jhtorres@telefonica.net;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;BARRIO;ACTIV.OCIO,CULTURALES,TALLERES,SENSIBILIZACION:CONCEN,MANIF;SERVICIOS A LOS CIUDADANOS;SERVICIOS A LOS SOCIOS;
ASOCIACION AMIGOS DE LOS MAYORES;TELLAETXE PINTOR                                                                            7;48015;944479527;;asociacionamsi@gmail.com;ASOCIACION;DISTRITO 1 DEUSTO;TERCERA EDAD;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES,SENSIBILIZACION:CONCEN,MANIF;SERVICIOS A LOS SOCIOS;;
URIBARRIKO EUSKAL KULTUR TALDEA;URIBARRI "C"                                                                                    5            3º II;48007;944459359;;;ASOCIACION;DISTRITO 2 URIBARRI;POBLACION EN GENERAL;CULTURA;REALIZACIàN DE ESTUDIOS,PUBLICACIONES,REVISTA;PROMOCION;;
MENDIZALE ZOROAK TALDEA;AOIZ/AGOITZ                                                                                   1         1º;48015;944472696;;;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;DEPORTIVAS;ACTIV.FORMATIVAS/EDUCATIVAS,EXPOSICIONES,PROYECCIONES;PROMOCION;SERVICIOS A LOS CIUDADANOS;
ASOCIACION DE GITANOS DE REKALDE;ERREKALDEBERRI                                                                             5         1º;48002;944449483;;;ASOCIACION;DISTRITO 7 REKALDE;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;NORMALIZACION;
ASOC. DE VECINOS REKALDE BETOLAZA;BETOLATZA                                                                                          50;48002;944213746;;;ASOCIACION;DISTRITO 7 REKALDE;POBLACION EN GENERAL;BARRIO;SENSIBILIZACION:CONCEN,MANIF;SERVICIOS A LOS CIUDADANOS;;
A.P.A. DEL COLEGIO PUBLICO URIBARRI;URIBARRI ESCUELAS                                                                       5;48007;944457397;944457397;apauribarri@yahoo.es;ASOCIACION;DISTRITO 2 URIBARRI;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS;EDUCAR;;
MATIKO'KO KULTUR TALDEA;PLAZA MORAZA                                           4;48007;656739422;;;ASOCIACION;DISTRITO 2 URIBARRI;INFANCIA Y JUVENTUD;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;PROMOCION;SERVICIOS A LOS CIUDADANOS;
ASOC. DE PADRES Y MADRES DE ALUMN@S DEL COLEGIO PUBLICO ARANGOITI;GANETA MONTE                                                                                    2;48014;944471065;944471065;;ASOCIACION;DISTRITO 1 DEUSTO;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS SOCIOS;;
GRUPO DE MUJERES DE ARANGOITI;ARANEKO CAMINO                                         33;48014;944470905;;;ASOCIACION;DISTRITO 1 DEUSTO;MUJER;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;EDUCAR;;
IBAI-ARTE EUSKAL DANTZARI TALDEA;CLARA CAMPOAMOR                                                                              1;48013;944422079;;;ASOCIACION;DISTRITO 8 BASURTO-ZORROZA;INFANCIA Y JUVENTUD;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,REPRESEN/RECITALES/CONCIERTOS;CREACION ARTISTICA;;
A.P.A. DEL C.P. ITURRIGORRI;ITURRIGORRIBIDEA                                                                            46;48002;944221749;944221749;;ASOCIACION;DISTRITO 7 REKALDE;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS SOCIOS;PROMOCION;
CLUB DE TIEMPO LIBRE TXIKILANDIA;PEÑASCAL                                                                                         1      A;48002;944221977;;;ASOCIACION;DISTRITO 7 REKALDE;INFANCIA Y JUVENTUD;TIEMPO LIBRE;NO PREGUNTA AYUNTAMIENTO;EDUCAR;;
ASOC.VECINOS HAUZOKIDEEN ESKUBIDEA DEUSTO;TORRE HELIODORO DE LA                                                               5;48014;944475654;;mgkortazar@ayto.bilbao.net;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;BARRIO;ACTIV.OCIO,CULTURALES,TALLERES,EXPOSICIONES;SERVICIOS A LOS CIUDADANOS;SOLIDARIDAD;
GRUPO IRRINTZI PARROQUIA STA ANA DE BOLUETA;GUISASOLA JUAN                                                                             8;48004;944730176;;Txesko_99@yahoo.es  / luis.bartolame@ehu.es;ASOCIACION;DISTRITO 4  BEGOÑA;INFANCIA Y JUVENTUD;TIEMPO LIBRE;REPRESEN/RECITALES/CONCIERTOS;PROMOCION;SOLIDARIDAD;
AMPA ALUMNOS ALUMNAS CEP ZURBARAN ZURBARANTARRAK;ZUMAIA                                                                                                1;48007;944132650;944132651;apa_zurbaran_ige@yahoo.es;ASOCIACION;DISTRITO 2 URIBARRI;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS SOCIOS;;
TXIMISTA-ASOC. ANIMACION SOCIOCULTURAL;BENIDORM                                                                                            4BIS;48015;944758415;;;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES,VISITAS CULTURALES/EXCURSIONES;PROMOCION;SOLIDARIDAD;
CIRCULO DE ACTUALIDAD ARCE;UNIVERSIDADES                                                                                  22;48007;944453100;;;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;CULTURA;ACTIV.FORMATIVAS/EDUCATIVAS;EDUCAR;PROMOCION;
UNIVERSIDAD Y DESARROLLO;AVENIDA DE LAS UNIVERSIDADES                           24;48007;944139000;;;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;SENSIBILIZACION:CONCEN,MANIF;ESTUDIOS/INVESTIGACION;SOLIDARIDAD;
A.P.A. DEL C.P. ZORROZGOITI-SIETE CAMPAS;PINADIA                                                                                              6;48013;944424875;944424875;beavalpe@gmail.com;ASOCIACION;DISTRITO 8 BASURTO-ZORROZA;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS,AYUDA ESCOLAR;SERVICIOS A LOS SOCIOS;REPRESENTACION Y/O DEFENSA;
A.P.A. DE LA IKASTOLA INTXIXU;ISLAS CANARIAS                                         71;48015;944759180;944755815;ikas.intxixu@euskalnet.net;ASOCIACION;DISTRITO 1 DEUSTO;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS,ESCUELA DE PADRES/MADRES;EDUCAR;;
SDAD. RECREATIVA GASTRONO. LAGUN TOKI ARANGOITI'KO;GANEKOGORTA MONTE                                                                       5;48014;944760720;;;ASOCIACION;DISTRITO 1 DEUSTO;SOCIOS/AS;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;OTROS;
EKINTZA DANTZA TALDEA;MATIKO                                                                                             18        3º D;48007;944450064;;;ASOCIACION;DISTRITO 2 URIBARRI;POBLACION EN GENERAL;CULTURA;BAILES;CREACION ARTISTICA;;
DEUSTUKO MENDITARRAK TALDEA;IRUÑA                                                  3            TR;48014;944479681;;;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;DEPORTIVAS;VISITAS CULTURALES/EXCURSIONES,RECURSOS/FONDO BIBLIOGRAFICO;EDUCAR;;
A.P.A. DEL COLEGIO PUBLICO ELEJABARRI;TOLOSA                                                                                             6;48002;944433919;944701393;;ASOCIACION;DISTRITO 7 REKALDE;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS,AYUDA ESCOLAR,ESCUELA DE PADRES/MADRES;EDUCAR;;
FEDERACION HAURRENTZAT DE REKALDEBERRI;BELATEGUI                                              6         BA;48002;944211717;944215864;haurrentzat@terra.es;FEDERACION;DISTRITO 7 REKALDE;INFANCIA Y JUVENTUD;SALUD;COLABORACION CON OTRAS ASOCIAC,SERV. DE SALUD MENTAL;SERVICIOS A LOS CIUDADANOS;;
ASOC. DE PADRES DE DISMINUIDOS FISICOS DE VIZCAYA;SANCHO DE AZPEITIA                                     2         BA;48014;944753059;;;ASOCIACION;BIZKAIA;MINUSVALIDOS/AS;INTERVENCIÓN SOCIAL;ACTIV.FORMATIVAS/EDUCATIVAS,ASESORIA JURIDICA,TERAPIAS /REHABILITACION,INFO/ORIENT EMPLEO Y FORMACION;REPRESENTACION Y/O DEFENSA;SERVICIOS A LOS SOCIOS;
ASOCIACION SALHAKETA;URIBARRI                                               2         3º D;48007;944464100;944464908;salhaketa@salhaketa.euskalnet.net;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;MARGINADOS/EXCLUIDOS/AS;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,ASESORIA JURIDICA,SERVICIO ESTADISTICO/DE DATOS;REPRESENTACION Y/O DEFENSA;SOLIDARIDAD;
ARABAKO ETXEA;BANCO DE ESPAÑA                                        3      IZ 3º;48005;944164848;;;FUNDACION;BIZKAIA;POBLACION EN GENERAL;SOCIEDAD;SERV.INFORMACION/ASESORAMIENTO,ACTIV.OCIO,CULTURALES,TALLERES;PROMOCION;ESTUDIOS/INVESTIGACION;
A.P.A. DEL COLEGIO PUBLICO ZURBARANBARRI;ZURBARANBARRI                                                                                  34;48007;944467829;944467829;;ASOCIACION;DISTRITO 2 URIBARRI;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,AYUDA ESCOLAR;REPRESENTACION Y/O DEFENSA;SERVICIOS A LOS SOCIOS;
MOVIMIENTO JUNIOR (REKALDE);CIUDADELA                                                                                       2;48002;944222560;;;ASOCIACION;DISTRITO 7 REKALDE;INFANCIA Y JUVENTUD;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS;EDUCAR;OTROS;
LAGUN IBILTZAILE;UGARTE                                                                                                14           2º IZ;48004;944125578;;;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;INFANCIA Y JUVENTUD;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES,CAMPAMENTOS,VISITAS CULTURALES/EXCURSIONES;SOLIDARIDAD;AYUDA MUTUA;
EKAITZ TALDEA;ARENAL CELESTINO M. DEL                                                              8            5º A;48015;944474974;;ekaitz@ibarrecolanda.org;ASOCIACION;DISTRITO 1 DEUSTO;JUVENTUD/ESTUDIANTES;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;;
ASOC. RECREATIVA GASTRONOMICA ARGITASUNA;GORBEIA                                                                                           6         L;48014;944473593;;;ASOCIACION;DISTRITO 1 DEUSTO;SOCIOS/AS;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;;
AHEVA-ASOCIACION VIZCAINA DE HEMOFILIA;ONDARROA                                                                                         4         LO;48004;944734695;944734695;info@hemofiliabizkaia.com;ASOCIACION;BIZKAIA;AFECTADOS/ENFERMOS/AS;SALUD;SERVICIOS SOCIOEDUCATIVOS;SERVICIOS A LOS SOCIOS;OTROS;
A.P.A. DEL COLEGIO Mª AUXILIADORA-SALESIANOS;AGUIRRE LEHENDAKARI                                                                   75;48014;944753602;944472658;apa@salesianosdeusto.com;ASOCIACION;DISTRITO 1 DEUSTO;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.OCIO,CULTURALES,TALLERES;EDUCAR;OTROS;
ASOC DE FAMILIAS ITURRIGORRI-PEÑASCAL;GARDEAZABAL                                                                                   4;48002;944221977;;;ASOCIACION;DISTRITO 7 REKALDE;POBLACION EN GENERAL;BARRIO;SERV.INFORMACION/ASESORAMIENTO,ACTIV.OCIO,CULTURALES,TALLERES;REPRESENTACION Y/O DEFENSA;SERVICIOS A LOS CIUDADANOS;
FED.COORDINADORA DE PERSONAS CON DISCAPACIDAD FÍSICA DE BIZKAIA;OTERO BLAS DE                                                                               63        BA;48014;944053666;944053669;fekoor@fekoor.com;FEDERACION;BIZKAIA;MINUSVALIDOS/AS;INTERVENCIÓN SOCIAL;ACTIV.FORMATIVAS/EDUCATIVAS,ASESORIA JURIDICA,SERVICIO DE ORIENTACION,INFO/ORIENT EMPLEO Y FORMACION;REPRESENTACION Y/O DEFENSA;SERVICIOS A LOS SOCIOS;
A.P.A. INSTITUTO DE ENSEÑANZA SECUNDARIA DE IBARREKOLANDA GURASOAK GERTU;ARBOLAGANA                                                                                     2;48015;944477016;;;ASOCIACION;DISTRITO 1 DEUSTO;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS,ACTIVIDADES DE ANIMACION;SERVICIOS A LOS SOCIOS;;
ASOCIACION DE VECINOS DE ELORRIETA;ANDALUCIA                                                                                          1            8º B;48014;944538455;;;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;BARRIO;ACTIV.OCIO,CULTURALES,TALLERES,FIESTAS;SERVICIOS A LOS CIUDADANOS;;
SDAD.GASTRONOMICA CULTU. RECREATIVA GURE ZULO;TRAVESIA DE TRAUCO                                     10;48007;944490070;;;ASOCIACION;DISTRITO 2 URIBARRI;SOCIOS/AS;CULTURA;LUGAR DE ENCUENTRO;SERVICIOS A LOS SOCIOS;;
HEGOA-INSTITUTO DE ESTUDIOS SOBRE DESARROLLO Y COOPERACION  INTERNACIONAL  DE BILBAO;LEHENDAKARI AGUIRRE                                    89        BJ C;48015;946017091;946017040;hegoa@bs.ehu.es;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;ACTIV.FORMATIVAS/EDUCATIVAS,CENTRO DE DOCUMENTACION,PUBLICACIONES;SERVICIOS A LOS CIUDADANOS;;
NUESTRO CLUB;LEHENDAKARI AGUIRRE                                    75;48015;944753602;944753603;sdbimauxcp@jet.es;ASOCIACION;DISTRITO 1 DEUSTO;INFANCIA Y JUVENTUD;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,ACTIVIDADES DE ANIMACION;EDUCAR;;
ASOC.DE VECINOS GOIURI DE ZURBARANBARRI;ZURBARANBARRI                                                                                  5;48007;944460307;;asociaciongoiuri@gmail.com;ASOCIACION;DISTRITO 2 URIBARRI;POBLACION EN GENERAL;BARRIO;ACTIV.OCIO,CULTURALES,TALLERES,FIESTAS;SERVICIOS A LOS CIUDADANOS;;
ASOC.DE VIZCAYA VIUDAS DE LA GUERRA;NUEVA PLAZA                                            5         2º;48005;944332958;;;ASOCIACION;BIZKAIA;MUJER;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES;OTROS;;
JUVENTUDES MUSICALES DE BILBAO;IBAÑEZ DE BILBAO                                       2         2º;48001;944242851;944242851;;ASOCIACION;BILBAO;JUVENTUD/ESTUDIANTES;CULTURA;ACTIV.FORMATIVAS/EDUCATIVAS,REPRESEN/RECITALES/CONCIERTOS;PROMOCION;;
JUVENTUDES MUSICALES DE EUSKADI;IBAÑEZ DE BILBAO                                       2         2º IZ;48001;944242851;;;ASOCIACION;COMUNIDAD AUTONOMA;JUVENTUD/ESTUDIANTES;CULTURA;REPRESEN/RECITALES/CONCIERTOS;PROMOCION;;
