RAOSOCIAL,DOMICILISOCIAL,TELEFON,EMAIL,WEB,CATEGORIA,LATITUD,LONGITUD,LOCATION,ENLLACDIRECTORI,ICON
"Garcia Faura, SL","carrer rourell, 37, 08850 Gavà",936621441 ,info@garciafaura.com ,http://www.garciafaura.com,Siderúrgia - Metal·lúrgia - Maquinària,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4470,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Ángel Rabal,"carrer sant isidre, 79, 08850 Gavà",936627328 ,,,Logística - Distribució - Transport,41.307907,2.002798,"(41.307907, 2.002798)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4368,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Construcciones Gavara, SL","carrer sant joan, 37, 08850 Gavà",936628452 ,,,Construcció i derivats,41.306343,2.00155,"(41.306343, 2.00155)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4409,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Construccions Gavara, SL","carrer sant joan, 37, 08850 Gavà", 667311229,Info@construccionsgavara.com,,Construcció i derivats,41.306343,2.00155,"(41.306343, 2.00155)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=801,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
Electro Juan,"carrer sant nicasi, 46, 08850 Gavà",936621866 ,,,Construcció i derivats,41.30584,2.002925,"(41.30584, 2.002925)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4440,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"TRANSPORTES GERMAN AGOUT, SL","carrer santa teresa, 43, local 2, 08850 Gavà", ,,,Logística - Distribució - Transport,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=82,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Recuperaciones PEZ SL,"carrer tarragona, 16, 08850 Gavà",936382265 ,recuperacionesluispez@telefonica.net,,Recuperació industrial - deixalleria,41.30008,2.011789,"(41.30008, 2.011789)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5186,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Mecatubs, SL","carrer tarragona, 21, 08850 Gavà",936355005 ,mecatubs@mecatubs.com,http://www.mecatubs.com,Siderúrgia - Metal·lúrgia - Maquinària,41.29948,2.013236,"(41.29948, 2.013236)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4556,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Regasoil, SL","carrer tarragona, 29-31, 08850 Gavà",936333333 ,regasoil@regasoil.com,http://www.regasoil.com,Química - Farmàcia - Sanitat,41.29876,2.013758,"(41.29876, 2.013758)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4605,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Sivana, Soluciones de Marketing","plaça terra, 8, 08850 Gavà",677446891 ,,http://www.sivanaweb.com,Publicitat - Màrqueting - Disseny gràfic,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4626,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Construccions Castellví Garcia,"rambla joaquim vayreda, 46, 08850 Gavà",936621601 ,,,Construcció i derivats,41.304703,2.008349,"(41.304703, 2.008349)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4414,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Roca Radiadores, SA","rambla salvador lluch, 2, 08850 Gavà",936351600 ,,http://www.roca.es/,Química - Farmàcia - Sanitat,41.303837,2.010237,"(41.303837, 2.010237)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4613,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Aluminou, SL","carrer colomeres, 134, 08850 Gavà",936336765 ,info@aluminou.com,http://www.aluminou.com,Siderúrgia - Metal·lúrgia - Maquinària,41.307343,1.999233,"(41.307343, 1.999233)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4451,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Mecànica Científica, SA","carrer j. lamote de grignon, 54, 08850 Gavà",932611252 ,delegacion.bcn@mecacisa.com,http://www.mecacisa.com,Altres serveis a empreses,41.311306,1.996084,"(41.311306, 1.996084)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5177,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Diego Moral Moya,"carrer lleida, 2, 08850 Gavà",936389381 677526999,diegomoral78@hotmail.com,,Fusta - Mobles,41.301945,2.010794,"(41.301945, 2.010794)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1764,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Ice Natur, SL","carrer galileo, 16, 08850 Gavà",936381293 ,info@icenatur.com,http://www.icenatur.com,Alimentació - Restauració,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4479,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Lleure I Esport Somriure,"carrer pau claris, 94, 08850 Gavà", 629712128,asoclleureiesportsomriures@gmail.com,,Turisme - Cultura - Oci,41.308746,1.996684,"(41.308746, 1.996684)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2503,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"IMS 2008, SL","carrer sarrià, 3, 08850 Gavà",936381176 ,,http://www.ims2008.es,Taller mecànic - Reparacions - Concessionari,41.305054,2.009432,"(41.305054, 2.009432)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4497,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Lleure I Esport Somriure,"carrer pau claris, 94, 08850 Gavà", 629712128,asoclleureiesportsomriures@gmail.com,,Turisme - Cultura - Oci,41.308746,1.996684,"(41.308746, 1.996684)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2306,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Extintores Pobe, SL","carrer ramon llull, 7, 08850 Gavà",936620943 ,extintorespobe@extintorespobe.com,,Altres serveis a empreses,41.302624,1.999425,"(41.302624, 1.999425)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4456,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Coimpe Suministros, SL","carrer tarragona, 24, 08850 Gavà",936380160 ,info@coimpesuministros.com,http://www.coimpesuministros.com,Siderúrgia - Metal·lúrgia - Maquinària,41.29936,2.013066,"(41.29936, 2.013066)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4401,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Serveis ELA Gava, SL","plaça catalunya, 2, 08850 Gavà",670931251 ,info@ela.cat,http://esportsilleureandreu.com/,Turisme - Cultura - Oci,41.308273,2.001097,"(41.308273, 2.001097)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5064,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
JUST SQUEEZED SL,"carrer girona, 12, 08850 Gavà",931252299 ,j.giro@jsjuices.com,http://www.jszumo.es/,Alimentació - Restauració,41.301643,2.011282,"(41.301643, 2.011282)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2741,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"PartyGava, SL","carrer oficis, 1, 08850 Gavà", ,,,Turisme - Cultura - Oci,41.300934,2.014238,"(41.300934, 2.014238)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1221,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Manipulados Raygar, SL","carrer oficis, 15, 08850 Gavà",936628103 ,manipraygar@hotmail.com,,Arts gràfiques - Impressió - Paper,41.300537,2.014774,"(41.300537, 2.014774)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4549,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Vanessa Baeza Florencia,"carrer clara campoamor, 17, 08850 Gavà",936621229 ,vanesa@baeza.cat,,Sense classificar,41.309372,1.989111,"(41.309372, 1.989111)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2501,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Vanessa Baeza Florencia,"carrer clara campoamor, 17, 08850 Gavà",936621229 ,vanesa@baeza.cat,,Sense classificar,41.309372,1.989111,"(41.309372, 1.989111)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2321,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Xicc Import, SL","carrer creativitat, 10, 08850 Gavà", ,,,Tèxtil - Calçat - Confecció,41.294342,2.016581,"(41.294342, 2.016581)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2621,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Amada United Kingdom Limited, Sucursal en España","carrer imaginació, 1, 08850 Gavà",934742725 ,amada@amada-mi.es,http://www.amada-mi.es,Siderúrgia - Metal·lúrgia - Maquinària,41.294445,2.01536,"(41.294445, 2.01536)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2641,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
My Best Supplier S.L.,"carrer ciència, 35 nau 6, 08850 Gavà",931772600 ,info@mybestsupplier.com,http://www.mybestsupplier.com,Logística - Distribució - Transport,41.29808,2.01292,"(41.29808, 2.01292)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2701,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Montaña de Acero, S.L.","carrer àtom, 21, 08850 Gavà",936383830 ,info@stahlberg.es,http://www.stahlberg.es,Siderúrgia - Metal·lúrgia - Maquinària,41.29685,2.005302,"(41.29685, 2.005302)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2881,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Carlos Duty, SL","carrer enginy, 12, 08850 Gavà",931712923 ,info@carlosduty.com,,Turisme - Cultura - Oci,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2502,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Carlos Duty, SL","carrer enginy, 12, 08850 Gavà",931712923 ,info@carlosduty.com,,Turisme - Cultura - Oci,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2301,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Comercial BCN Servicios 2013, SL","carrer creativitat, 12, 08850 Gavà", ,,,Siderúrgia - Metal·lúrgia - Maquinària,41.294147,2.016591,"(41.294147, 2.016591)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2542,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"VECXA LIGHTING, SL","carrer creativitat, 12, 08850 Gavà",902730518 ,,,Electricitat - Electrònica - Òptica,41.294147,2.016591,"(41.294147, 2.016591)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5336,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
E,"carrer progrés, 2 c, 08850 Gavà", ,,,Logística - Distribució - Transport,41.47972,2.031872,"(41.47972, 2.031872)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2722,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Dionisios Import, SL","carrer imaginació, 11, 08850 Gavà", ,,,Alimentació - Restauració,41.294132,2.015808,"(41.294132, 2.015808)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2721,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Eni Iberia SLU,"cami regàs, s/n, 08850 Gavà",936384404 ,amparo.sanz@agipiberia.es,http://www.eniiberia.com/,Química - Farmàcia - Sanitat,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3601,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Tratamiento, Acondicionamento de Laderas y Obras, SA","carrer ciència, 6-8, 08850 Gavà", ,,,Construcció i derivats,41.2997,2.01463,"(41.2997, 2.01463)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5304,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
MJ Steps GMBH,"avinguda bertran i güell, 44, nau c, 08850 Gavà", ,,,Logística - Distribució - Transport,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5305,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Transtecno Iberica The Modular Gearmotor, SA","carrer enginy, 2 nau 6, 08850 Gavà", ,,,Tecnologia - Telecomunicacions,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5306,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Palets R. Gonzalez e Hijas, SL","carrer ciència, 31 nau 2, 08850 Gavà", ,,,Fusta - Mobles,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5307,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"A y C Asensio 21, SL","carrer ciència, 33 nau 4, 08850 Gavà", ,,,Taller mecànic - Reparacions - Concessionari,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5302,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Arceri, SL","carrer màquina, 32, 08850 Gavà", ,,,Logística - Distribució - Transport,41.29719,2.01437,"(41.29719, 2.01437)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5303,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"ANJANA INVESTMENTS, SLU","carrer comerç, s/n, 08850 Gavà", ,,,Taller mecànic - Reparacions - Concessionari,41.29368,2.008983,"(41.29368, 2.008983)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5312,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"SOUL IMPRESSION, SL","carrer màquina, 49-51, 08850 Gavà",936472449 ,info@gruposoul.com,http://gruposoul.com,Arts gràfiques - Impressió - Paper,41.29602,2.011219,"(41.29602, 2.011219)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5122,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Baixpreu.net,"carrer progrés, , 08850 Gavà",930153361 ,info@baixpreu.net,http://www.baixpreu.net,Sense classificar,41.29911,2.011559,"(41.29911, 2.011559)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5107,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Agencia rusa de comercio exterior, SL","carrer progrés, , 08850 Gavà",936388288 ,info@ruscomerz.com,http://www.ruscomerz.com/,Altres serveis a empreses,41.29911,2.011559,"(41.29911, 2.011559)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4679,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"AIRPORT PASSENGER SERVICES SPAIN, SL","carrer coneixement, 4, 08850 Gavà", ,,,Logística - Distribució - Transport,41.293427,2.015798,"(41.293427, 2.015798)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5535,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Stamm Consulting Group, SL","avinguda europa, 159, 08850 Gavà", ,,http://www.stammconsultinggroup.com,Altres serveis a empreses,41.268456,2.001757,"(41.268456, 2.001757)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5537,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Deltapunt 3000, SA","carrer barcelona, 1a, 08850 Gavà",902102724 ,enderrocs@deltapunt.com,http://www.deltapunt.com,Logística - Distribució - Transport,41.30418,2.013624,"(41.30418, 2.013624)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4429,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"CONTROL Y MONTAJES INDUSTRIALES CYMI, SA","carrer progrés, 8, 08850 Gavà", ,,,Electricitat - Electrònica - Òptica,41.30165,2.01291,"(41.30165, 2.01291)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5556,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Qualitat i Formació, SL","carrer apel·les mestres, 52, 08850 Gavà",936389273 ,mail@qualitatiformacio.com,http://www.qualitatiformacio.com,Altres serveis a empreses,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4596,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
IMAGIUM-COMUNICACIÓ VISUAL,"carrer foc, 4, 08850 Gavà",936620912 ,info@imagium.net,http://www.imagium.net,Arts gràfiques - Impressió - Paper,41.30511,1.992738,"(41.30511, 1.992738)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5569,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
MARIAMIAU,"autovia castelldefels, 140, 08850 Gavà", 661058397,contact@mariamiau.com,http://www.mariamiau.com,Arts gràfiques - Impressió - Paper,41.269333,2.001546,"(41.269333, 2.001546)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5570,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Encolats PLV, SL","avinguda bertran i güell, 53-57, 08850 Gavà", ,,,Logística - Distribució - Transport,41.296074,2.012479,"(41.296074, 2.012479)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5582,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"NEGOCIOS PUERTO 1975, S.L.","cami murtra, s/n, 08850 Gavà",934325919 677043528,lacyca@lacyca.com,http://www.lacyca.com,Agricultura - Jardineria,41.282852,2.028635,"(41.282852, 2.028635)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5602,http://continguts.intra.gavaciutat.net/documents/76203/2268237/agricultura.png
Jorge Subirana Garcia,"avinguda diagonal, 46-48, 08850 Gavà",936382056 655982733,administracion@t-d-i.es,http://www.t-d-i.es,Serveis,41.30559,1.996713,"(41.30559, 1.996713)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4233,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
"DB DISTRIBUCION GAVA, SL","carrer ciència, 8, 08850 Gavà", ,,,Automoció i carburants,41.29956,2.01443,"(41.29956, 2.01443)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5478,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
"CEVAM IBERICA 2000, SAU","carretera santa creu de calafell, 3,6, 08850 Gavà", ,,,Logística - Distribució - Transport,41.30624,2.011375,"(41.30624, 2.011375)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5480,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"BOLSAS NORMA 2010, SL","carrer rourell, 40 a, 08850 Gavà", ,,,Logística - Distribució - Transport,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5479,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Xfera Móviles,"autovia castelldefels, 135, 08850 Gavà", ,,,Tecnologia - Telecomunicacions,41.30176,2.004633,"(41.30176, 2.004633)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1763,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Selectives Metropolitanes, SA","cami ral de barcelona a valència, km. 1, 08850 Gavà",936629456 ,semesa@semesa.cat,http://www.semesa.cat/,Gestió de residus,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4618,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
SOLUCIONS INTEGRALS PER ALS RESIDUS SA (DEIXALLERIA DE GAVA),"cami ral de barcelona a valència, km. 1, 08850 Gavà",936383483 ,siresa@siresa.cat,http://www.siresa.es,Recuperació industrial - deixalleria,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5116,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Jardiland,"cami ral de barcelona a valència, km. 2,4 iz, 08850 Gavà",936622050 ,jd.gava@jardiland.es,http://www.jardiland.com,Agricultura - Jardineria,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4517,http://continguts.intra.gavaciutat.net/documents/76203/2268237/agricultura.png
"Agora Textil, SL","carrer castelldefels, 7, 08850 Gavà", ,,,Equipament de la persona,41.301033,2.014365,"(41.301033, 2.014365)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1762,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
"DHL Gava, SL","carrer ciència, 29-33, 08850 Gavà",936625717 ,antoni.calaf.fernandez@dhl.com,,Logística - Distribució - Transport,41.299297,2.016546,"(41.299297, 2.016546)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4430,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Plàstics Munné, SL","carrer ciència, 29-33, 08850 Gavà",936333226 ,xavi.munne@plasticsmunne.com,http://www.plasticsmunne.com/,Química - Farmàcia - Sanitat,41.299297,2.016546,"(41.299297, 2.016546)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4585,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Usi Iberia, SL","carrer enginy, 16, 08850 Gavà",936336818 ,comercial@usiiberia.es,http://www.usiitalia.com,Siderúrgia - Metal·lúrgia - Maquinària,41.303432,2.015032,"(41.303432, 2.015032)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4651,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Parker Hannifin España, SA","carrer enginy, 6, 08850 Gavà",902330001 ,,http://www.parker.com,Automoció,41.30345,2.015463,"(41.30345, 2.015463)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4577,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Distribucions Bals, SL","carrer forja, 17, 08850 Gavà",936381030 ,bals@bals-e.jazztel.es,,Logística - Distribució - Transport,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4433,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Autocreación Gavà, SL","carrer màquina, 34-36, 08850 Gavà",936629266 ,autocreaciongava@gmail.com,,Taller mecànic - Reparacions - Concessionari,41.296627,2.013337,"(41.296627, 2.013337)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4374,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Alfredo Cano, SL","carrer màquina, 34-36, 08850 Gavà",936627847 ,informacion@alfredocano.com,http://www.alfredocano.com,Siderúrgia - Metal·lúrgia - Maquinària,41.296627,2.013337,"(41.296627, 2.013337)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4362,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Troqueles Delta SL,"carrer recerca, 1, 08850 Gavà",932632232 ,info@deltadietech.com,http://www.deltadietech.com/es,Siderúrgia - Metal·lúrgia - Maquinària,41.294483,2.014509,"(41.294483, 2.014509)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1841,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Abasic, SL","carretera santa creu de calafell, km 3,6, 08850 Gavà",936352393 ,desigual@desigual.com,http://www.desigual.com,Logística - Distribució - Transport,41.30618,2.011172,"(41.30618, 2.011172)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5294,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Uniproduk, SA","carretera santa creu de calafell, km. 3,6, 08850 Gavà",936383650 ,,,Electricitat - Electrònica - Òptica,41.30618,2.011172,"(41.30618, 2.011172)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4649,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Servitron, SA","carretera santa creu de calafell, km. 3,6, 08850 Gavà",933774903 ,,,Electricitat - Electrònica - Òptica,41.30618,2.011172,"(41.30618, 2.011172)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4623,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Administración de Fincas Cithe, SL","carretera santa creu de calafell, 59, 08850 Gavà",936333115 ,fincascithe@fincascithe.com,http://www.fincascithe.com,Serveis jurídics - Gestories,41.30358,2.008724,"(41.30358, 2.008724)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4789,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Balsells & Masachs, SL","carrer barcelona, 37, 08850 Gavà", ,,,Taller mecànic - Reparacions - Concessionari,41.299538,2.005539,"(41.299538, 2.005539)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2041,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
